movie_id,similar_movie_1,similar_movie_2,similar_movie_3,similar_movie_4,similar_movie_5,similar_movie_6,similar_movie_7,similar_movie_8,similar_movie_9,similar_movie_10
148667,128852,121374,56274,156781,72356,128832,1286,120813,4003,134021
145951,5953,27904,46367,2793,7004,4139,1783,1689,5071,94985
107462,135803,4441,170837,4442,115727,7899,67534,179,98503,93838
436,4517,156726,170875,3474,4932,95843,303,161634,47725,36533
440,1459,105585,164917,7560,8869,26078,30846,27821,7040,87520
450,55241,5963,5625,4235,959,118814,4260,391,1175,8609
457,7217,42632,2511,6515,504,2372,726,6187,139915,99750
461,2395,448,1696,6789,4228,135436,144222,8798,31590,6774
471,50842,148888,1601,7888,1459,5493,1747,325,8462,58347
476,4810,2590,106062,1885,165075,31973,73488,133802,6342,148172
149830,6721,31694,4442,4419,50003,7579,98503,115727,67534,7899
421,2852,7618,6148,55167,3246,26999,6178,8362,166203,68954
9,97913,44731,179401,26985,71254,135137,368,177285,185435,8633
410,27075,2124,69134,110102,4489,6031,176805,7023,2174,7167
486,144716,92674,118924,89028,1014,2885,1331,96917,30820,44937
412,118814,942,4024,6750,1339,1230,7023,133645,1057,61350
423,69481,60389,27537,5059,129937,1721,173355,103171,112290,2496
479,1674,4827,26317,606,106648,5588,2459,5767,113313,2126
413,46347,3680,134109,4757,4663,27873,6554,7193,134184,1310
429,870,32179,4527,1461,48001,5636,1887,3755,134847,92637
177285,2600,71254,44731,135137,6566,97913,179401,188797,8633,6790
544,8,1948,612,59333,1488,134004,42943,7141,7262,3176
548,55272,3635,94405,138036,1687,2334,743,132362,91630,1466
555,3599,597,51545,2511,2302,1273,50851,3396,4217,4239
562,2155,77206,193571,1244,2172,71379,167790,4527,3497,33629
575,2590,132660,106062,133802,71899,6342,26965,80124,6241,168492
577,7303,99750,143245,176751,160422,73290,180031,1654,33660,148881
585,312,6650,118924,8043,6702,27772,26492,5909,51167,915
590,6422,165639,31522,7162,6181,4577,2560,5550,58842,136016
597,555,86286,1193,5500,4994,1613,3396,4608,123553,27022
610,37495,80748,2885,1014,1331,2327,89028,104074,92674,4229
611,8918,26686,4403,6650,3150,333,150254,7139,184,279
618,6993,521,1051,990,898,44193,1290,81788,3410,1057
634,942,88515,6994,3272,5563,6885,22,6335,43912,4531
639,128832,7450,32294,6367,111817,59018,7932,3606,2574,175
649,955,1914,4204,4552,8919,6101,1043,505,26743,4990
661,3285,1030,6350,161032,26528,631,4229,115231,885,4517
154975,3106,135777,8197,61348,50842,60522,90600,3858,6650,5741
155288,71899,4810,2590,6342,5896,37857,106062,1885,132660,34540
803,2307,6631,114670,2259,1290,35015,56949,122888,86960,8131
832,6604,7926,30803,81383,216,7344,6436,103655,26726,57326
849,190,4663,3431,707,155892,170399,68932,2535,3697,1137
866,3391,59018,8016,171811,61818,5553,96917,2160,1541,97936
879,861,4794,285,3005,1754,5312,4531,4055,3770,97742
885,35015,126,631,2327,115231,89047,47261,4229,26504,2797
6303,1097,2448,9004,108078,4480,5896,1334,27905,68954,4343
892,2396,118814,4229,77421,3855,8609,3325,70361,2908,1331
898,4410,6993,3501,5675,2239,412,92760,58964,7728,618
903,4925,3790,111364,7107,4700,6765,116985,132,7001,6027
906,7812,2428,2314,127096,5419,1341,7449,52458,151501,51939
912,698,26562,82202,900,26750,46723,7205,5646,920,3007
917,5221,188,148881,464,3811,40,31522,2357,143245,65685
920,6422,2896,6186,165639,5550,4047,4407,3365,4921,99114
3070,2582,36850,861,59947,7486,6686,79553,27802,1829,123
839,6986,6425,3235,2338,1959,152105,143245,86290,26676,78746
773,3271,131578,1351,160836,102481,4174,416,87485,88593,81087
779,2175,1428,7728,3516,289,5471,3685,3436,237,4063
800,3671,25827,176371,5449,5478,99910,8571,3683,697,55282
818,2124,931,3987,65685,77421,152372,40955,4053,2269,51931
970,32442,114126,8196,115727,4799,4785,6959,168456,88932,325
979,124484,8481,179053,4032,6415,86290,346,3569,136859,1412
991,2278,3179,92494,44613,1629,679,7139,42728,47894,5632
998,2996,5636,3167,94323,4357,32666,910,8748,806,5875
1010,116419,3802,5247,150554,2050,104760,33830,1752,4265,71252
1014,7255,96917,2885,1331,89028,171765,92674,25827,44657,801
1016,313,148775,2633,5538,1022,8382,4132,8125,109848,50954
1024,469,142372,8873,3998,27762,47999,8425,83969,2406,2699
1028,43560,107141,97858,104374,187,158882,5309,85438,6166,4815
1035,25886,8533,31522,4916,41571,4727,3808,8690,1031,2067
1037,170,6979,2040,1292,3987,1704,225,4483,112868,6631
1046,5461,61319,120130,4147,5347,2702,6644,1131,87192,2644
1057,7023,412,3587,61350,78116,173205,6732,91628,6324,133645
1060,59336,3764,8154,103141,74450,137595,140711,52668,3099,8057
1068,587,3281,103655,4111,4802,100579,4517,88932,7925,61210
1078,8840,84246,74916,37741,7023,263,34437,74154,89028,4489
1084,4844,2625,167790,942,118814,933,8465,3129,159193,5382
8755,90863,97230,534,58879,851,5385,4628,2442,32314,121715
955,189,649,4370,71108,4204,2782,2369,2788,68945,513
968,2232,7360,6731,48678,58332,73929,5051,3024,6707,4799
1177,96373,3167,781,998,3655,6765,4782,7046,5051,7767
1186,973,81788,5081,151317,703,25753,2740,2607,5573,2269
1189,118862,4387,26612,143255,4086,31101,8456,59016,5959,93
1197,172793,56152,47644,118997,7302,1022,2096,260,8580,74
1204,31522,179817,5747,92234,4802,4916,2211,6654,4117,34536
1210,135216,260,1196,53453,122886,166528,179819,466,187595,61160
1215,133645,26741,2567,5505,8235,4132,277,39414,3477,4929
1219,2389,2903,2902,1209,335,126577,5447,26472,2312,8362
1224,2559,2565,136564,1059,84637,2396,43,115828,25946,110
1228,431,8362,68954,7012,108981,2409,5693,2691,73015,48741
1236,55241,98230,95949,2469,193571,1268,69685,706,4374,6887
1116,7008,3475,6246,7161,87485,6982,88593,3436,1264,2731
1130,481,8236,22,88515,1991,3445,3849,3863,3238,7362
1137,3697,707,7251,2672,26375,4663,6203,155892,32011,959
1148,64285,1223,745,91386,3751,104863,127114,65810,1377,38038
1163,3569,27674,8481,112290,132454,138702,56620,81512,6870,6942
1173,3953,1643,7561,106441,43871,301,307,8424,141810,8910
131130,6816,136503,945,4613,8600,6750,900,134004,62081,43917
1272,31522,4117,4916,4727,4802,8684,92234,3836,41571,118702
1279,143410,58103,59306,81512,1163,6107,83803,46723,162478,56620
1281,72701,4524,3789,4672,5706,6816,53578,2307,2324,109897
1287,6986,122888,5922,2301,54686,117545,109897,3578,128838,3378
1296,5957,6715,118,781,6436,5,953,7293,104374,149330
1300,5111,2789,5994,8376,2736,4896,33629,52952,4371,6291
1307,7023,639,3587,51931,61350,139747,412,78116,175,8008
1321,1043,3714,58025,6301,2046,4370,915,31427,1437,26350
1328,4489,91628,6324,78116,2174,7450,639,7023,160836,5347
1331,96917,92674,4229,2885,1014,44657,96935,31367,89028,4517
1339,412,118814,7092,2207,117887,81018,1441,8609,715,4263
1342,2566,2473,168326,785,43914,3928,91079,4619,3939,26237
1349,33294,4036,168090,6744,5254,89030,137517,2167,49,166558
1352,7344,4086,4436,30848,70361,8605,1273,2741,2860,52831
1355,142444,3733,2743,2518,4496,4065,639,62394,67734,4689
1365,7010,133879,121129,7005,6975,1919,1280,86922,98122,2806
4954,4963,53322,128488,1461,112303,8984,59421,3446,50794,4256
100306,30890,27627,1220,34811,4056,8609,156726,7031,3112,2402
1253,4916,31522,4117,8684,2202,92234,3836,4349,118702,41571
1256,48032,1416,8427,25886,4524,4066,31522,4727,4449,67997
1399,37739,26838,199,3113,2590,7619,4371,62834,106062,1598
1407,25827,86295,142196,848,61986,8911,1717,2583,134158,2120
1414,5390,4079,2262,2520,3408,27793,97194,65130,589,64997
1423,116207,1249,179133,78959,7348,55253,32387,229,92309,4139
1428,779,7728,3516,2175,237,4063,289,5675,6837,3436
1432,3769,1473,31101,1963,3929,5912,47736,7031,173619,3362
1441,6596,8611,118814,8609,8575,59915,715,4263,1226,4928
1459,440,7560,30846,1390,26078,105585,1055,61024,51935,164917
1465,55167,31700,1041,489,114184,164,2917,4326,4998,3671
1476,82093,4441,1489,25996,6711,118924,2977,61348,89904,1413
1483,5614,96935,3223,152077,1331,6192,2118,113394,4770,2712
1489,82093,4441,5114,89904,1476,25996,829,2770,4848,171751
1499,6415,185435,93320,94122,100226,109295,96861,173619,386,32029
1507,3836,4916,41571,118702,92234,2202,3143,31522,4117,8684
1526,61628,133802,324,52694,80124,5818,42004,4867,2797,8870
1527,2885,1331,1014,2697,89028,92674,7019,8157,70305,44657
1546,3987,53578,3350,34542,4873,7217,4053,1945,6631,60904
1549,3729,5668,1964,2136,126482,158238,101525,680,433,109864
1551,5575,8870,26726,124404,5836,25865,6557,1350,90376,3787
8773,52042,4727,31522,4117,4916,8684,41571,92234,3555,3836
1388,4056,4124,1387,3432,3697,81417,7344,5801,1950,5779
1394,61262,98633,96430,70206,4347,5909,91978,7781,103688,46772
1600,97921,8232,77421,8016,6748,7492,70206,4333,8783,103606
1604,25773,5856,8042,146730,2843,4880,2130,4914,3947,608
1613,4527,1631,61628,5818,6020,915,173205,3031,7058,6319
1614,166024,1941,1105,64575,91079,1794,49961,1609,167634,120138
1623,100306,2402,123947,34811,105355,27627,1220,2248,95843,7217
1635,4174,6650,119964,90057,98296,7058,4240,168250,113280,25773
8778,4562,8771,31921,73017,147326,147286,2414,120827,146028,74727
1646,4942,6332,85022,4623,47644,1582,63393,1101,499,127319
1653,93805,1231,109487,2117,7118,167380,51562,1831,114935,27266
1660,80094,3515,148172,1233,484,82366,8918,6650,514,32442
1663,1135,49314,57,1541,6832,1051,2065,87485,2607,5553
1675,116977,54001,1117,40815,4077,3389,2037,4626,67534,4442
1689,46367,2793,37477,2016,1783,4229,183611,6971,55112,3707
1701,61729,3770,89281,42011,1212,6645,65601,1117,154358,2119
1704,391,252,118814,8609,1175,166526,8575,129,5625,103042
1722,7573,5872,2625,5796,1027,7570,3984,175485,7569,71205
1641,2931,2542,3363,315,40959,111320,77800,6107,62155,112818
1590,52328,52767,94262,54736,8712,5881,5479,50658,3077,26712
1593,8836,132084,8131,118814,8711,122,147002,5625,4191,117511
1777,103502,58162,1837,90528,6944,38304,92674,65740,118924,5077
1791,85736,903,2590,142997,133802,106062,7445,2044,141820,26965
1799,6975,88108,61692,3342,5503,161131,139857,6566,430,67267
1806,2347,1704,103219,6516,71252,116529,1656,55118,4156,83369
1816,110771,4672,391,4357,48032,3436,134095,3046,106696,56908
1831,135569,1876,93610,4526,99853,2377,36363,117849,3592,133377
1836,4489,3587,59018,91628,6324,55272,7450,7023,61350,62511
1856,8577,93320,6415,86290,7171,34326,127146,3569,176,33838
1867,3111,56607,2687,160563,3926,3884,62344,55391,176389,1411
1873,99149,6527,5838,563,6959,31660,1339,37729,73,5026
1883,6347,5664,7259,34271,6948,69720,43708,7282,7142,470
1891,22,481,8236,88515,891,3445,1991,7160,3849,3238
1897,4867,105755,3171,2885,55555,162414,2389,80831,46367,2605
1904,283,1922,4821,105213,3694,6867,91628,156605,7395,159077
1921,8147,36527,606,143255,2800,58047,62374,91325,1037,60303
1927,2202,4727,3836,5915,31522,4802,174055,92234,4916,2211
1932,7080,32160,42002,5694,2300,5530,4835,5938,6003,4831
1731,25940,136778,867,52722,6971,1089,31658,68269,47950,46335
1746,6974,3616,64575,3433,91079,26947,3105,4262,3932,86892
1760,2323,2021,193573,132454,147378,30793,70641,131796,130686,4926
1963,1432,31101,3929,3769,5912,47736,7031,1473,103235,8117
1964,3729,109864,158238,680,433,53466,7177,8157,1549,8542
1972,1971,77798,366,1969,1973,1970,56367,80363,26631,7438
1974,6625,54768,3041,5589,4104,47999,1013,3040,3043,69069
1979,66203,3388,1978,160341,1977,116849,48638,6615,42007,37380
1981,8511,7450,6367,82152,3606,6324,91628,1230,5347,160836
1987,98230,63479,2706,95949,5363,55241,73515,1268,2469,4936
1991,481,8236,22,88515,3445,3849,3863,3238,7362,146688
1998,8815,80094,113350,7449,127202,31431,1973,4580,3701,3608
1999,89047,4086,7344,6899,26810,6382,91325,61628,5818,5577
2008,138186,2459,78836,136654,707,5938,106648,44694,140301,59604
2010,50601,680,3113,2702,85796,106883,139747,7450,133780,32294
2018,5321,364,56908,391,45106,31952,128736,118814,47970,6750
2020,1366,6527,7245,5646,5026,70206,117590,31610,2795,3185
2027,54934,61628,4890,4915,4581,3787,6424,4109,43,2609
2046,2546,97866,2590,165551,26965,132660,106062,86000,71899,1341
2054,4229,58972,6116,5818,5929,26871,184987,1980,91325,6319
3799,6371,3926,102720,105468,176101,47384,152091,103042,3054,5672
1951,37736,6849,8341,709,168366,1735,168456,138835,1030,2083
1958,71902,27266,7051,106696,5485,4357,80551,5532,77421,94160
2087,74089,3489,7164,5109,130450,110553,95510,58998,911,8970
2093,4489,4389,5238,89028,2421,160836,53464,3400,301,91628
2097,2121,25827,83374,27838,8911,31700,61986,282,3844,848
2102,96608,116718,72692,3283,4223,25769,804,140725,5480,347
2111,167790,118814,4699,942,304,60737,8465,1244,3528,5893
2116,5952,7153,4993,113780,118696,106489,8949,87430,2824,2050
2120,25827,8911,848,5896,134158,27838,8463,95307,7312,149380
2121,2097,25827,83374,54910,6793,2625,848,8911,25905,31700
2130,4482,8042,25773,104211,109569,60293,2843,5590,5856,4880
2135,4915,1911,4313,103755,117887,104906,7748,3933,51709,8463
2138,109971,3606,111921,153070,1188,4489,6860,2531,175,40478
2152,3500,49793,4773,414,5696,409,971,118530,6315,6816
2155,4676,44719,562,6020,84392,3590,6873,71379,5548,4660
2160,59018,3587,902,78116,6324,829,2174,5847,91628,7023
2167,5540,5254,31553,7891,90888,8985,168090,27595,33294,166558
2171,3855,2262,215,3736,575,2969,8533,118814,1307,77421
2177,121097,481,22,1130,5268,8236,92681,1336,88515,1991
2182,143001,67799,54999,1432,5071,26172,1199,4019,57326,3987
3679,7390,4663,155892,707,3431,170399,190,2535,68932,139717
2071,4384,1654,83,121,993,3870,6860,219,58306,190207
2080,1547,3462,170777,6763,34450,1011,57243,1286,119714,3168
2255,715,3015,8609,52287,8575,5617,282,118814,92760,6750
2260,4844,27776,908,63479,4683,70641,5246,171917,68659,1084
2268,61011,82378,5442,2688,726,7348,2991,3801,93,4947
2272,5308,134393,505,4080,25898,6436,3410,30848,5891,7023
2279,481,8236,22,100906,6290,88515,3445,1991,3849,6140
2288,5881,8810,7900,2822,6036,8331,2448,86279,69529,5444
2295,91671,347,3563,45442,2204,26765,2897,2691,50274,3640
2301,5428,5922,1287,133879,54686,6528,45880,147300,3578,70703
2307,114670,6631,2259,35015,122888,86960,74948,8131,26861,141928
2314,906,1341,7812,7449,1014,151501,7190,51939,62383,127096
2323,1760,70932,74868,59037,1337,1144,2824,8482,7620,3435
2325,98503,67534,4442,6721,115727,4441,26792,50003,7899,135803
2332,84374,65585,50792,3480,161922,142422,52952,4489,57522,7344
2351,77421,8125,427,4867,5951,1235,2497,139747,87834,56908
2355,4327,6946,45183,1676,4198,27793,122922,5041,49649,55995
3797,4065,8609,1441,4436,715,4263,118814,109853,84601,2743
2226,95313,2350,1162,201,487,765,3502,3256,3106,98279
2244,3363,351,2795,5283,100326,74946,5348,93270,155812,93242
8713,1076,4720,1235,160573,108078,61628,26645,1117,59604,79242
2389,1219,3192,80831,3015,1897,52885,173235,1081,160440,2903
2392,113394,61628,324,241,27721,82767,1357,4994,101962,2546
2401,4709,4104,414,153408,26900,37729,1238,4035,7046,50842
2407,382,79057,6288,70663,104875,5704,3326,4785,1862,6959
2408,93610,4813,1097,8447,26444,5323,34450,86320,25769,3042
2416,100737,6436,96829,51167,5575,5346,26726,8870,61628,151739
2421,2420,2422,4489,78574,1807,2093,5896,108078,502,93819
2428,906,7812,69685,92420,93270,55241,6153,93790,127096,98230
2435,5975,8835,69953,41724,3167,4888,3396,5239,3273,5114
2442,168418,57368,173255,70862,8755,117176,78836,534,851,110669
2448,6303,4480,1334,2691,2288,332,104875,80917,1721,3497
2456,45175,37384,73488,3676,72395,61628,3077,26712,5818,31702
2463,48596,45662,4436,2132,26401,8232,4354,492,608,5244
2469,193571,2546,55241,98230,95949,6153,706,1268,6890,4374
2471,7450,6367,3606,91628,6324,98175,71823,1230,639,5347
2477,50954,3806,2633,3550,4572,8800,44238,54934,6371,1091
2496,707,4663,155892,3431,1137,74916,3697,170399,139717,2535
2367,41569,7033,6324,91628,7450,639,5347,32294,6732,160836
2377,104841,2792,1339,1231,3592,3638,5181,54771,6882,1876
2383,7344,94323,87660,135567,5466,5878,61692,998,5875,2165
2524,127132,142420,81847,57368,93270,3708,5952,3064,3846,1895
2534,169992,148671,75395,85565,44731,87483,76077,69904,94780,89427
2542,25773,118862,3468,8042,31878,8494,146730,5856,4880,1604
2550,2719,112515,26717,4792,110603,4876,7982,2822,165343,4833
2554,2983,92694,96079,34334,7573,115713,7570,5497,1031,2533
2561,90943,6187,4412,67799,36,5991,6668,1006,3147,79501
2567,133645,5505,55830,8235,1215,26741,59141,223,4630,130970
2573,5723,49347,33838,5876,6415,26599,146244,98836,100397,7049
2582,59947,4200,7486,1829,861,36850,5802,79553,6686,3414
2586,1086,33564,3683,3426,71147,2007,40614,380,2331,91077
2594,1226,5272,1441,959,7049,96829,56908,1696,118814,4798
2598,5768,4293,1427,58309,129,5515,58826,5421,104908,94953
2612,3112,129737,60397,1041,920,5415,96917,67888,3410,3010
2616,108078,1121,5272,44889,6750,8362,43912,2797,60,4280
2624,142997,131920,735,32017,25757,1246,567,263,116817,86
2629,3964,2174,48150,6036,94959,86882,31297,176805,111743,7357
2640,84414,2641,103233,160271,27155,46530,2643,93022,184931,6374
2652,273,37444,141004,7900,6242,1340,44731,2648,108689,46723
3071,49910,7026,49961,4616,55241,833,6890,167634,93790,62
2513,2787,1564,6650,1259,151769,60522,514,148775,70361,2046
2520,2262,1414,65130,94780,2453,72921,377,7038,8426,594
2697,1527,70305,111,3765,4862,8605,55442,58191,5788,87197
2702,7450,62394,639,32294,5347,6367,7932,111817,59018,6732
2708,8921,8293,56941,71668,8667,3699,61986,2290,927,47970
2717,7450,639,32294,2504,111817,6367,59018,7932,3606,175
2723,81564,103335,3400,2717,273,136864,1340,3364,4489,59947
2730,6527,2893,48997,62293,149830,5026,3094,128542,4419,55768
2737,184471,106839,6564,4367,72733,160422,6935,179813,121231,1262
2741,61024,59947,4086,2991,4436,30848,1273,606,33966,1352
2747,2746,167790,3436,3307,1325,3692,4809,8008,47970,2266
2754,42734,1034,2327,96281,2362,8236,143245,891,6281,481
2757,5055,6182,65810,73290,99750,160422,4912,1654,3100,5297
2769,3735,92509,6898,69306,3899,45658,8362,59725,149380,370
2782,62394,955,1217,5575,3410,1339,6987,114707,3870,4464
2788,6104,136359,68945,98799,1080,26492,136355,3306,69654,955
2793,46367,1689,55112,1226,3707,74452,2016,1783,1858,145951
2798,2590,106062,132660,70159,71899,6342,163937,26965,80124,2546
2803,5742,3733,6800,100,112804,25927,1355,173307,4296,82378
3098,44840,6246,149011,4117,492,8989,96121,5062,81786,1244
2146,144222,98230,7346,2172,56908,1235,167790,193571,47970,7340
2693,3167,2884,1405,114126,8587,1376,6711,4961,710,266
2841,3649,2506,30820,27746,8,544,612,27899,1948,122884
2847,6335,7700,83969,8118,3389,3888,72178,2066,3093,982
2858,6658,34271,3497,8362,2259,68954,106785,108078,5745,7012
2867,172887,1257,1268,3063,7773,185033,55241,88746,6887,98230
2871,84716,6335,2166,3938,27776,8502,119714,112788,60538,65738
2877,4658,136556,3456,8494,90374,1893,156726,2312,885,72641
2884,27523,108729,4670,6374,50806,93022,184931,160271,6412,100390
2887,89,1011,3729,7781,170,36529,66198,102903,1833,3112
2891,149612,2974,169958,7486,46578,4025,4027,2718,55820,8138
2900,1821,51931,5591,59103,3436,4846,4489,3587,92259,232
2906,2586,3987,3409,2007,71147,731,138798,1086,40614,7083
2916,95875,719,8016,90890,1648,8362,372,77191,2815,96832
2924,8609,118814,1175,391,103042,5625,8575,166526,215,4260
2930,53550,48319,160422,97866,1101,3628,5152,92234,3767,1213
2937,1821,6732,4489,902,78116,91628,6324,7450,7023,639
2952,6279,80831,2231,368,5389,8609,96917,715,2921,2940
2961,36276,4325,70159,96121,7839,99087,5105,6254,80864,6320
3310,6436,76091,4815,2546,5415,6344,3497,5575,65882,89047
2824,391,111844,7303,3046,162414,159193,161131,38886,538,928
2829,3834,1727,148424,3516,82152,3598,103772,98175,25,4155
3003,4857,36535,153408,8454,1262,3440,4840,65216,68157,5799
3006,6271,7581,6186,44195,55250,8835,31162,5397,5678,39444
3014,1249,58047,113159,8920,70206,2682,112316,5334,55250,25870
3020,802,89,3994,95201,122627,3987,4252,8426,128736,27899
3024,7360,968,58332,6731,6707,164367,85295,2613,4533,128542
3034,520,5499,1027,940,87197,77866,1136,1266,5665,4846
3039,851,143001,4717,8526,6708,4357,4246,914,94931,8796
3042,87444,75816,188,158238,3877,79251,65738,4961,2408,4613
3052,3870,4024,2141,3094,283,405,1959,159077,1794,2451
3061,6586,3691,5267,167296,3393,133545,39715,1103,6217,4219
3063,172887,1268,1257,7773,6887,185033,55241,88746,98230,95949
3073,32799,60397,1246,4389,2570,3497,8601,3391,3983,130452
3076,167790,942,118814,53129,8465,932,3528,4263,8840,3307
3081,101074,53450,3964,2163,92048,26765,5680,4313,1845,1551
3097,2605,3171,2117,1944,162414,1897,77455,42015,3132,55253
3103,88911,215,715,190219,8626,7008,32060,128620,2743,45730
2977,71302,82093,4441,53466,5665,1489,1476,25996,6711,150401
2988,52375,3834,30812,6883,114818,4338,1359,5177,1866,1413
2984,86290,922,935,59037,1190,6415,363,3569,56003,1442
2995,2523,2269,176389,26365,3112,67734,97921,5258,4899,1739
4653,7720,31923,1801,552,4756,41828,8684,5311,25946,94780
3157,5480,139052,172825,2687,83132,2141,55061,1033,136016,4239
3160,999,4766,7099,888,1759,4519,2351,3790,4027,119155
3168,27776,908,2077,63479,6782,4683,5246,70641,5678,4844
3174,5644,180265,37382,25771,35836,30818,242,102823,31101,78499
3178,7217,2353,2187,3946,73323,165347,475,3391,7377,7347
3190,2034,2571,2537,34405,1214,5784,2691,6947,32554,60516
3198,27627,2695,3987,4611,4260,5156,4053,63515,5285,390
3208,4676,4945,4925,73808,132454,4531,5442,2307,3716,695
3219,2961,5573,6763,171811,1341,6999,3591,4354,111113,4433
3223,113394,1483,96935,5614,2392,1395,1331,6192,51925,4994
3235,65514,152105,1959,86290,52952,127212,6415,26695,165489,51933
3248,55241,2172,64575,193571,167634,1493,49910,1812,2918,706
3256,108188,95313,1162,2350,1610,349,201,487,59995,4293
3260,8617,73822,59258,32009,6944,1041,4687,40826,78034,1263
3268,1051,3497,74275,56908,58078,1696,32009,3410,47970,8362
3271,773,72737,102481,956,1351,4174,131578,44840,88593,52973
3169,26947,160422,73290,99750,182793,1654,44197,159,121,4005
3111,1867,31309,150254,161582,98604,6650,3986,8609,2618,26198
3141,1252,47950,43556,2339,58627,5442,44889,2991,1464,867
3150,8376,50796,50514,32728,1841,26116,26686,1547,6650,611
3316,149612,98296,70206,8016,7891,5553,117511,49314,56715,43908
3329,35015,1244,6367,2259,56908,114670,118814,5929,146244,7340
3338,92192,135787,86290,166643,150,5385,178129,2501,4812,2710
3350,8609,3587,4260,1175,391,6436,95761,5625,118814,6215
3361,5267,3138,5102,34321,619,6246,4010,4355,5292,3980
3365,6422,165639,4962,31522,115231,54997,5550,1242,6181,4902
3374,3888,62553,7065,166705,32298,88810,6872,92234,3328,2739
3386,4436,30848,4086,1273,2741,153,2991,1352,1104,34532
3392,4976,134021,91935,46967,4354,5635,95843,7010,68,135803
3401,4480,3280,1334,8293,271,41627,2738,3410,58964,6436
3402,3855,2262,215,3439,3440,2969,2171,575,8575,1307
3409,3987,7083,2906,731,49793,156675,3478,3461,88932,2110
3415,4117,4703,6668,7085,1172,7753,4260,6436,5849,6987
